Wvlngth.	W/m2	% supp
440	0.000139347	0.0186
440	0.009276089	0.2203
440	0.017660661	0.2968
440	0.069158906	0.4823
440	0.138631378	0.5055
440	0.204007801	0.5983
440	0.27082533	0.6029
440	0.419610049	0.5751
440	0.650133402	0.5751
440	0.908691258	0.6191
460	0.000127312	0.0770
460	0.016856481	0.2052
460	0.026220473	0.2985
460	0.034002225	0.4571
460	0.061816016	0.4851
460	0.115340379	0.5901
460	0.215209647	0.6834
460	0.371434339	0.7184
480	0.000121065	-0.0374
480	0.014418191	0.2082
480	0.027411237	0.3205
480	0.05486153	0.5240
480	0.107015451	0.5053
480	0.219758908	0.5310
480	0.314917277	0.5357
480	0.463027945	0.6503
480	0.583517158	0.6713
505	0.00010449	0.0398
505	0.013888919	0.0211
505	0.026519622	0.3251
505	0.048083302	0.4678
505	0.09668633	0.5614
505	0.142529381	0.5965
505	0.18945231	0.6667
505	0.227065729	0.6784
505	0.272146828	0.7135
505	0.326178223	0.6596
530	9.35674E-05	-0.0281
530	0.012119486	0.0023
530	0.02633679	-0.0023
530	0.035924795	0.2526
530	0.046532228	0.3111
530	0.096019754	0.5216
530	0.188146187	0.5871
530	0.284623466	0.5544
530	0.419575411	0.6152
		
		
		
		
		
		
		
		
		
		
